Start Time, Wed Dec 3 16:52:22 GMT-0700 2025
Energy calibration,  Offset: -0.13771282136440277, Slope: 0.09197762608528137, Quadratic: 0
Live Time (s), 7.07
Real Time (s), 7.4
Elapsed Computational, 2848
Spectrum
Channel, Energy (keV), Counts
159, 14.486729726195335, 2
160, 14.578707352280617, 2
161, 14.670684978365898, 5
162, 14.76266260445118, 1
163, 14.85464023053646, 6
164, 14.946617856621742, 2
165, 15.038595482707024, 4
166, 15.130573108792305, 5
167, 15.222550734877586, 1
168, 15.314528360962868, 3
169, 15.406505987048149, 2
170, 15.49848361313343, 0
171, 15.590461239218712, 5
172, 15.682438865303993, 5
173, 15.774416491389275, 4
174, 15.866394117474556, 7
175, 15.958371743559837, 3
176, 16.05034936964512, 5
177, 16.1423269957304, 4
178, 16.23430462181568, 4
179, 16.326282247900963, 1
180, 16.418259873986244, 2
181, 16.510237500071526, 2
182, 16.602215126156807, 4
183, 16.69419275224209, 2
184, 16.78617037832737, 6
185, 16.87814800441265, 5
186, 16.970125630497932, 3
187, 17.062103256583214, 4
188, 17.154080882668495, 2
189, 17.246058508753777, 4
190, 17.338036134839058, 0
191, 17.43001376092434, 2
192, 17.52199138700962, 4
193, 17.613969013094902, 2
194, 17.705946639180183, 7
195, 17.797924265265465, 5
196, 17.889901891350746, 2
197, 17.981879517436028, 2
198, 18.07385714352131, 2
199, 18.16583476960659, 6
200, 18.25781239569187, 6
201, 18.349790021777153, 1
202, 18.441767647862434, 2
203, 18.533745273947716, 7
204, 18.625722900032997, 5
205, 18.71770052611828, 1
206, 18.80967815220356, 3
207, 18.90165577828884, 4
208, 18.993633404374123, 2
209, 19.085611030459404, 4
210, 19.177588656544685, 2
211, 19.269566282629967, 2
212, 19.361543908715248, 1
213, 19.45352153480053, 1
214, 19.54549916088581, 1
215, 19.637476786971092, 7
216, 19.729454413056374, 2
217, 19.821432039141655, 4
218, 19.913409665226936, 3
219, 20.005387291312218, 7
220, 20.0973649173975, 3
221, 20.18934254348278, 6
222, 20.281320169568062, 4
223, 20.373297795653343, 4
224, 20.465275421738625, 4
225, 20.557253047823906, 3
226, 20.649230673909187, 1
227, 20.74120829999447, 2
228, 20.83318592607975, 3
229, 20.92516355216503, 3
230, 21.017141178250313, 4
231, 21.109118804335594, 2
232, 21.201096430420876, 5
233, 21.293074056506157, 3
234, 21.38505168259144, 5
235, 21.47702930867672, 4
